[2019-11-24 05:35:53.353] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.387] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.420] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.454] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.487] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.521] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.555] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.588] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.621] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.654] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.688] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.721] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.754] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.787] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.821] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.854] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.888] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:53.922] [nemo] [debug] [engine/src/Controller.cpp:149] Key 3 pressed
[2019-11-24 05:35:53.923] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:53.956] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:53.989] [nemo] [debug] [engine/src/Controller.cpp:164] Key 18 released
[2019-11-24 05:35:53.990] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
